common_name,scientific_name
Red-spotted Toad,Anaxyrus punctatus
Plains Leopard Frog,Lithobates blairi
Sharp-shinned Hawk,Accipiter striatus
Western Grebe,Aechmophorus occidentalis
Mountain Plover,Anarhynchus montanus
Burrowing Owl,Athene cunicularia
Redhead,Aythya americana
Canvasback,Aythya valisineria
Broad-winged Hawk,Buteo platypterus
Ferruginous Hawk,Buteo regalis
Northern Harrier,Circus hudsonius
Black-billed Cuckoo,Coccyzus erythropthalmus
Olive-sided Flycatcher,Contopus cooperi
Prairie Falcon,Falco mexicanus
Peregrine Falcon,Falco peregrinus
Pinyon Jay,Gymnorhinus cyanocephalus
Chestnut-sided Warbler,Setophaga pensylvanica
Brewer's Sparrow,Spizella breweri
Field Sparrow,Spizella pusilla
Gray Wolf,Canis lupus
Wapiti,Cervus canadensis
American Hog-nosed Skunk,Conepatus leuconotus
Pale Lump-nosed Bat,Corynorhinus townsendii pallescens
Black-tailed Prairie Dog,Cynomys ludovicianus
Northern Hoary Bat,Lasiurus cinereus
Swift Fox,Vulpes velox
Colorado Checkered Whiptail,Aspidoscelis neotesselatus
Common Checkered Whiptail,Aspidoscelis tesselatus
Prairie Ring-necked Snake,Diadophis punctatus arnyi
Eastern Hog-nosed Snake,Heterodon platirhinos
Chihuahuan Nightsnake,Hypsiglena jani
Western Massasauga,Sistrurus tergeminus
Black-necked Gartersnake,Thamnophis cyrtopsis
Smooth Softshell Turtle,Apalone mutica
Yellow Mud Turtle,Kinosternon flavescens
Suckermouth Minnow,Phenacobius mirabilis
Flathead Chub,Platygobio gracilis
Pondhorn,Uniomerus tetralasmus
Yellow Bumble Bee,Bombus fervidus
American Bumble Bee,Bombus pensylvanicus
Splendid Tiger Beetle,Cicindela splendida
Bronze Roadside-Skipper,Amblyscirtes aenus
Monarch,Danaus plexippus
Rita Dotted-Blue,Euphilotes rita coloradensis
Green Skipper,Hesperia viridis
Sooty Dancer,Argia lugens
Eastern Ringtail,Erpetogomphus designatus
Mexican Forktail,Ischnura demorsa
Brimstone Clubtail,Stylurus intricatus
Fendler's False Cloak Fern,Argyrochosma fendleri
Ebony Spleenwort,Asplenium platyneuron
Southwestern Cloak Fern,Astrolepis integerrima
Arizona Three-awn Grass,Aristida arizonica
Black Grama,Bouteloua eriopoda
Giant Reedgrass,Calamovilfa gigantea
Red Lovegrass,Eragrostis secundiflora ssp. oxylepis
Toad Rush,Juncus bufonius
Least Duckweed,Lemna minuta
Western Witchgrass,Leptoloma pubiflorum
Sand Muhly,Muhlenbergia arenicola
Bigelow's Bluegrass,Poa bigelovii
Giant Dropseed,Sporobolus giganteus
Hall's Milkweed,Asclepias hallii
Dwarf Dalea,Dalea nana var. nana
Slim-leaf Prairie-clover,Dalea tenuifolia
Cooley's Mimosa,Desmanthus cooleyi
Hoary Tansy-aster,Dieteria canescens var. glabra
Narrowleaf Purple Coneflower,Echinacea angustifolia
Reiuchenbach's Hedgehog Cactus,Echinocereus reichenbachii var. perbellus
Green-flower Hedgehog Cactus,Echinocereus viridiflorus var. viridiflorus
Hooker's Sandwort,Eremogone hookeri var. hookeri
Hoary Fleabane,Erigeron canus
Longroot Buckwheat,Eriogonum lachnogynum var. lachnogynum
Hoary Broomspurge,Euphorbia lata
Waxy Rushpea,Hoffmannseggia glauca
Fineleaf Woolly-white,Hymenopappus filifolius var. polycephalus
Western Lettuce,Lactuca ludoviciana
Showy Peavine,Lathyrus polymorphus ssp. incanus
Scaly Gayfeather,Liatris squarrosa var. glabrata
Berlandier's Yellow Flax,Linum berlandieri
Engelmann Evening-primrose,Oenothera engelmannii
Howard's Evening-primrose,Oenothera howardii
Engelmann's Goldenweed,Oonopsis engelmannii
Capulin Goldenrod,Solidago capulinensis
Wright's Goldenrod,Solidago wrightii
Prairie Skeletonplant,Stephanomeria pauciflora
Queen's Delight,Stillingia sylvatica
Queen's Delight,Stillingia sylvatica ssp. sylvatica
